CustomerID,Age,Income, TransactionFrequency, AverageTransactionValue,YearsWithBank,MostTransactionArea,CreditCard
1,56,26385,5,281,28,Food,1
2,46,34990,15,185,17,Entertainment,1
3,32,47275,14,187,2,Food,0
4,60,58674,3,231,27,Travel,0
5,25,37038,7,245,1,Travel,1
6,38,46390,4,193,18,Shopping,0
7,56,31750,11,184,4,Food,1
8,36,64730,12,89,1,Entertainment,0
9,40,75759,15,161,22,Utilities,1
10,28,74139,6,143,17,Entertainment,1
11,28,64474,1,234,3,Utilities,1
12,41,62937,18,187,2,Utilities,0
13,53,18921,14,185,18,Shopping,0
14,57,52657,7,199,4,Utilities,0
15,41,42558,10,156,25,Travel,1
16,20,63206,9,277,3,Travel,0
17,39,11936,2,264,12,Shopping,1
18,19,52894,8,280,22,Entertainment,1
19,41,46783,1,234,16,Entertainment,1
20,61,66776,2,198,28,Entertainment,0
21,47,73219,7,280,11,Entertainment,0
22,55,36067,16,165,10,Travel,0
23,19,36744,4,156,19,Travel,0
24,38,53457,17,169,10,Shopping,0
25,50,76006,4,226,21,Shopping,0
26,29,50902,3,161,25,Shopping,1
27,39,30812,9,192,3,Entertainment,1
28,61,40911,15,119,24,Entertainment,0
29,42,53039,3,224,6,Travel,1
30,44,53603,12,124,14,Travel,1
31,59,39438,15,153,12,Food,1
32,45,40613,8,260,8,Food,0
33,33,35276,12,259,2,Entertainment,0
34,32,67117,13,218,9,Travel,0
35,64,37478,15,213,14,Entertainment,1
36,61,43028,11,173,1,Utilities,0
37,20,42601,17,161,3,Food,1
38,54,25910,12,181,20,Shopping,0
39,24,37048,18,124,6,Entertainment,1
40,38,68422,16,212,27,Utilities,0
41,26,31860,3,202,20,Shopping,1
42,56,35545,9,153,13,Utilities,1
43,35,30011,7,278,11,Travel,1
44,21,48640,19,230,15,Travel,0
45,42,78282,5,234,18,Travel,0
46,31,48009,19,175,19,Shopping,1
47,26,51001,10,199,19,Shopping,0
48,43,38068,12,231,6,Travel,0
49,19,49075,8,207,15,Shopping,0
50,37,68435,3,280,21,Travel,0
51,45,52143,19,189,14,Entertainment,1
52,64,81976,11,174,5,Travel,1
53,24,68892,8,231,11,Food,1
54,61,48705,13,136,20,Entertainment,1
55,25,48413,10,246,13,Travel,1
56,64,74463,18,134,13,Food,1
57,52,52059,12,231,4,Travel,1
58,31,71133,7,167,9,Entertainment,0
59,34,80043,11,223,23,Travel,1
60,53,46936,10,245,29,Shopping,1
61,57,55279,3,207,13,Travel,1
62,21,64700,7,140,28,Entertainment,0
63,19,61512,4,155,8,Utilities,0
64,23,61407,8,163,20,Travel,1
65,59,29997,8,105,11,Shopping,1
66,21,37273,6,256,19,Entertainment,0
67,46,42570,13,205,1,Food,0
68,35,68216,12,143,9,Utilities,1
69,43,31469,3,272,25,Travel,1
70,61,72848,6,164,2,Entertainment,1
71,51,61697,19,212,4,Shopping,1
72,27,67313,11,158,29,Shopping,1
73,53,36057,4,99,4,Entertainment,1
74,31,51084,15,131,28,Shopping,1
75,48,54484,2,177,1,Utilities,0
76,32,53824,15,244,28,Food,1
77,25,54434,17,217,18,Shopping,0
78,31,45852,2,207,14,Shopping,0
79,40,52028,7,99,13,Food,0
80,57,65503,16,263,8,Utilities,1
81,38,32502,5,211,6,Utilities,0
82,33,73205,16,194,17,Utilities,0
83,62,64728,19,256,23,Shopping,1
84,35,35521,2,262,11,Shopping,1
85,64,55757,15,257,15,Utilities,1
86,41,63522,4,187,7,Shopping,1
87,43,31470,2,149,22,Travel,1
88,42,50629,10,249,29,Shopping,1
89,62,48822,5,131,27,Utilities,1
90,58,40316,18,297,8,Entertainment,1
91,46,51385,4,201,11,Utilities,1
92,32,40995,1,146,28,Entertainment,1
93,62,70614,18,138,21,Shopping,0
94,18,40600,6,136,2,Shopping,1
95,42,61879,14,207,20,Entertainment,0
96,24,25169,10,199,11,Utilities,0
97,26,47572,18,138,14,Food,1
98,41,50184,9,182,24,Food,1
99,18,47085,12,131,13,Utilities,1
100,61,44055,10,229,8,Shopping,1
101,25,39987,19,197,12,Entertainment,0
102,41,61318,6,181,21,Entertainment,1
103,28,64991,14,135,22,Utilities,0
104,34,48767,8,184,9,Utilities,0
105,25,33550,14,179,26,Travel,1
106,52,76909,11,215,26,Entertainment,1
107,52,36803,16,208,10,Travel,0
108,50,28108,6,239,11,Shopping,1
109,22,19810,15,175,11,Entertainment,1
110,59,51491,15,106,16,Utilities,1
111,56,46738,14,249,18,Utilities,1
112,58,65464,12,153,21,Shopping,1
113,45,59166,2,144,9,Food,1
114,24,54353,8,197,3,Travel,1
115,26,45929,19,215,22,Utilities,0
116,25,66649,14,173,4,Entertainment,1
117,29,78010,5,173,20,Entertainment,0
118,51,65134,9,180,19,Entertainment,0
119,50,43047,13,270,10,Shopping,1
120,40,61723,9,199,13,Food,1
121,41,43968,14,151,1,Travel,1
122,54,33423,5,152,12,Entertainment,0
123,52,36514,2,187,11,Entertainment,0
124,61,44627,7,211,24,Utilities,1
125,57,51559,16,224,5,Food,1
126,39,80908,11,206,2,Utilities,1
127,44,36774,11,157,17,Shopping,1
128,52,69852,12,178,17,Shopping,0
129,18,45241,13,236,20,Travel,0
130,52,19754,8,142,15,Shopping,0
131,54,42414,16,176,4,Travel,0
132,64,67650,1,229,22,Utilities,0
133,31,55170,13,243,11,Entertainment,1
